C-42,"elav-Gal4, UAS-GFP (x)","P{w[+mW.hs]=GawB}elav[C155], P{w[+mC]=UAS-mCD8::GFP.L}Ptp4E[LL4], P{ry[+t7.2]=hsFLP}1, w[*]",+,+,"Bloom 5146, 11/2013",,
C-43,"dpr-Gal4, UAS-GFP (III)",w[*],"P{w[+mW.hs]=GawB}dpr[PGaw], P{w[+*]=UAS-GFP.U}2/CyO",+,Bloom 25083,"Expresses GAL4 in the chemosensory bristles of the anterior wing margin, C.M. Carries an unknown UAS-GFP insertion on the P{GawB} chromosome, A.L.P.  For Floris' experiments.",
C-44,"CaLexA (II, III)",w[*],LexAop-CD8GFP-2A-CD8GFP,"UAS-mLexA-VP16-NFATCd4(H-2), LexAop-CD2GFP/ TM6B","Jing Wang lab, 12/2013",,
C-45,"DB331-Gal4 (x);; UAS-GFP1-10, LexAop-GFP11 (GRASP)",DB331-Gal4,+,"UAS-GFP1-10 , LexAop-GFP11","Made in house by Ainne using X-04 and G-02, 01/2014",,
C-46,JO31-Gal4 ; ey-flp,?,JO31-Gal4,eyeless-flippase,"Alan Wong, 1/2014",Expresses in the Johnston's Organ.,
C-47,,,,,,,
C-48,UAS-Kir2.1; tub>Gal80-stop>,+ HCS,P{w[+mC]=UAS-Hsap\KCNJ2.EGFP}1 / CyO,tub > gal80-stop >,Made by Sustar from U-12 and C-39.,Recovered from only a few males (11/2015),
C-49,"DB331-Gal4; ;  UAS-DenMark, UAS-syt.eGFP",DB331-Gal4,,"P{w[+mC]=UAS-DenMark}2, P{w[+mC]=UAS-syt.eGFP}3/TM2 Ubx",Made by Ainne from U-54 and G-02,Ubx is floating,
C-50,"R57C10-LexA, LexAop-GCaMP6f (II)",w[+]/ w[*],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/CyO",+,,Pan-neuronal GCamp6f.,
C-51,UAS>stop>GFP; LexAop-flp,w[+]/ w[*],P{w[+mC]=UAS(FRT.stop)mCD8-GFP.H}11/CyO,{8xLexAop2-flp}attp2,Made by MHD from X-19 and U-48,,
C-52,UAS>stop>Kir2.1; LexAop-flp,w[+]/ w[*],UAS>stop>Kir2.1-GFP / CyO,{8xLexAop2-flp}attp2 / Tb,Made by Anne from X-19 and U-88,curly and tubby are floating,
C-53,UAS>stop>ReachR; LexAop-flp,w[+]/ w[*],pJFRC2 10x UAS with IVS and with frt cassette {ReaChR} su(Hw) attP5 / CyO,{8xLexAop2-flp}attp2,Made by Anne from X-19 and U-82 ,curly and tubby are floating,
C-54,24C04-LexA; 81B11-Gal4,w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR24C04-lexA}attP40,P{y[+t7.7] w[+mC]=GMR81B11-GAL4}attP2/ TM3 Sb,Made by Anne from J-109 and L-09,for intersectional expression in wing b2 MN,
C-55,24C04-LexA; 23A10-Gal4,w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR24C04-lexA}attP40,P{y[+t7.7] w[+mC]=GMR23A10-GAL4}attP2,Made bye Anne from J-135 and L- 09,for intersectional expression in wing b2 MN,
C-56,Tdc2-LexA; ; Ubx[M1]-Gal4,"w[*], Tdc2-LexA::VP16 #55",+,Ubx[M1]-Gal4 / TM6B,Made by Anne from L-01 and C-40,for intersectional expression in wing midline accessory neurons,
C-57,19C08-LexA; Ubx[M1]-Gal4,w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR19C08-lexA}attP40,Ubx[M1]-Gal4 / TM6B,Made by Anne from L-10 and C-40,for intersectional expression in haltere MN b1 and b2.,
C-58,UAS-GCaMp6s; R55B01-Gal4,+,P{y[+t7.7] w[+mC]=20XUAS-IVS-GCaMP6s}attP40 / CyO,R55B01-Gal4 attp2 / TM2,PR68<-(R55B01-Gal4) & PR98; PR103,"Brought by Pavan, R55B01-GCaMP6s, balanced (floating)",
C-59,Piezo-Gal4; Cha3.5-Gal80,+,Piezo-Gal4 / CyO,Cha3.5-Gal80 / TM6b,PR124 X PR129; PR131,"Brought by Pavan, ""Piezo-Gal4, Cha3.5-Gal80
USED""",
C-60,elav-Gal4; UAS-mCD8:GFP,+,elav-Gal4 / Fm7c,UAS-mCD8:GFP / CyO,RB359 X PR67,"Brought by Pavan, elav-Gal4 driving mCD8:GFP",
C-61,elav-Gal4; UAS-GCaMP6s,+,elav-Gal4 / Fm7c,UAS-GCaMP6s / CyO,PR98 X PR67,"Brought by Pavan, elav-Gal4 driving GCaMP6s",
C-62,tsh-Gal4; UAS-y,y[1] w[1118],P{w[+mW.hs]=GawB}tsh[md621]/CyO,P{w[+mC]=UAS-y.C}MC1/TM2,"Bloom 3040, 5/2015",Pavan's stock request,
C-63,"R57C10-LexA, LexAop-GCaMP6s (II)",   ,"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6s-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/CyO",+,"Made by Peter, 2015",,
C-64,"R57C10-LexA, LexAop-GCaMP6f; UAS-RicinA, cold sensitive",w[+]/ w[*],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/CyO",P{w[+mC]=UAS-RA.cs2}CC,"Made by C-50 & U-108 by Peter, 2015",,
C-65,"R57C10-LexA, LexAop-GCaMP6s; UAS-Chrimson::tdT (III)",w[+]/ w[*],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6s-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/CyO",P {20XUAS-IVS-Syn21-Chrimson::tdT-3.1} in VK00005/ Tb,Made by C-63 & U-105,,
C-66,"R22E04-Gal4 (III);
UAS-GCaMP6s (II)
",w[+]/ w[*],P{20XUAS-IVS-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR29G05-GAL4}attP2/TM3 Sb ,"Made from J-78 & U-55 by Thad, 2015",Sparse muscle driving GcAMP optimized for low expression levels,
C-67,"R58H10-Gal4 (III);
UAS-GCaMP6s (II)",w[+]/ w[*],P{20XUAS-IVS-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR58H10-GAL4}attP2/TM3 Sb ,"Made from J-195 & U-55 by Thad, 2015",Sparse muscle driving GcAMP optimized for low expression levels,
C-68,"R40D04-Gal4 (III);
UAS-GCaMP6s (II)",w[+]/ w[*],P{20XUAS-IVS-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR40D04-GAL4}attP2/TM3 Sb ,"Made from J-160 & U-55 by Thad, 2015",Sparse muscle driving GcAMP optimized for low expression levels,
C-69,"R74D08-Gal4 (III);
UAS-GCaMP6s (II)",w[+]/ w[*],P{20XUAS-IVS-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR74D08-GAL4}attP2/TM3 Sb ,"Made from J-219 & U-55 by Thad, 2015",Sparse muscle driving GcAMP optimized for low expression levels,
C-70,"R74E08-Gal4 (III);
UAS-GCaMP6s (II)",w[+]/ w[*],P{20XUAS-IVS-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR74E08-GAL4}attP2/TM3 Sb ,"Made from J-220 & U-55 by Thad, 2015",Sparse muscle driving GcAMP optimized for low expression levels,
C-71,"UAS-GCaMP6f (II);
LexAop2-Gal80 (III)",w[+]/ w[*],P{20XUAS-IVS-GCaMP6f}attP40/CyO,"P{y[+t7.7] w[+mC]=8XLexAop2-IVS-GAL80-WPRE}su(Hw)attP1
/TM6B","Made from U56 & X-28 by Thad, 2015",UAS-GCamp6f with LexAop2-Gal80 lexA inhibits Gal4 expression,
C-72,"R29E05-lexA (II);
R39E01-Gal4 (III)",w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR29E05-lexA}attP40/CyO,"P{y[+t7.7] w[+mC]=GMR39E01-GAL4}attP2
/TM6B","Made from L-11 & J-23 by Thad, 2015",Cross to C71 for intersectional musle expression,
C-73,"R29E05-lexA (II);
R38H06-Gal4 (III)",w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR29E05-lexA}attP40/CyO,"P{y[+t7.7] w[+mC]=GMR38H06-GAL4}attP2
/TM6B","Made from L-11 & J-22 by Thad, 2015",Cross to C71 for intersectional musle expression,
C-74,"R39E01-lexA (II);
R38H06-Gal4 (III)",w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR39E01-lexA}attP40,"P{y[+t7.7] w[+mC]=GMR38H06-GAL4}attP2
/TM6B","Made from L-18 & J-22 by Thad, 2015",Cross to C71 for intersectional musle expression,
C-75,"R38H06-lexA (II);
R39E01-Gal4 (III)",w[+]/ w[*],P{y[+t7.7] w[+mC]=GMR38H06-lexA}attP40,"P{y[+t7.7] w[+mC]=GMR39E01-GAL4}attP2/
TM6B","Made from L-19 & J-23 by Thad, 2015",Cross to C71 for intersectional musle expression,
C-76,"sr[md710],UAS-tdTom.S (III)
",w[+],Sp/CyO,"P{w[+mW.hs]=GawB}sr[md710], P{w[+mC]=UAS-tdTom.S}3 / TM3 Sb","Made from G-84 & U-64 by Thad, 2015",Labels tendons with cytoplasmic tdTomato W[+],
C-77,UAS-CsChrimson (III),w[+],Sp/CyO,P{20XUAS-IVS-CsChrimson.mVenus}attP2,"Made from G-95 & B-08 by Thad, 2015","Balanced and sp marked 2nd chromosome, CsChrimson unstably balanced on 3rd.",
C-78,"LexAop-GCaMP6f, R29E05-lexA (II)",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR29E05-lexA}attP40
/CyO", +/TM3 Sb,"Made from X-10 & L-11 by Thad, 2015","Gcamp6f in muscles, LexA driven",
C-79,"LexAop-GCaMP6f,
R39E01-lexA (II)",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR39E01-lexA}attP40 
/CyO", +/TM3 Sb,"Made from X-10 & L-18 by Thad, 2015","Gcamp6f in muscles, LexA driven",
C-80,"LexAop-GCaMP6f,
R38H06-lexA (II)",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR38H06-lexA}attP40 
/CyO", +/TM3 Sb,"Made from X-10 & L-19 by Thad, 2015","Gcamp6f in muscles, LexA driven",
C-81,"LexAop-GCaMP6f, R29E05-lexA; sr[md710],UAS-tdTom.S",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR29E05-lexA}attP40
/CyO","P{w[+mW.hs]=GawB}sr[md710], P{w[+mC]=UAS-tdTom.S}3 / TM3 Sb","Made from C-76 & C-78 by Thad, 2015","Gcamp6f in muscles, tdTomato in tendons",
C-83,"LexAop-GCaMP6f, R38H06-lexA; sr[md710],UAS-tdTom.S",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR38H06-lexA}attP40 
/CyO","P{w[+mW.hs]=GawB}sr[md710], P{w[+mC]=UAS-tdTom.S}3 / TM3 Sb","Made from C-76 & C-80 by Thad, 2015","Gcamp6f in muscles, tdTomato in tendons",
C-82,"LexAop-GCaMP6f,
R39E01-lexA; sr[md710],UAS-tdTom.S",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR39E01-lexA}attP40 
/CyO","P{w[+mW.hs]=GawB}sr[md710], P{w[+mC]=UAS-tdTom.S}3 / TM3 Sb","Made from C-76 & C-79 by Thad, 2015","Gcamp6f in muscles, tdTomato in tendons",
C-84,"LexAop-GCaMP6f, R29E05-lexA; UAS-CsChrimson",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR29E05-lexA}attP40
/CyO",P{20XUAS-IVS-CsChrimson.mVenus}attP2,"Made from C-77 & C-78 by Thad, 2015","Gcamp6f in muscles, csChrimson on third - cross to Gal-4 drivers for activation, image GcAMP from muscles",
C-85,"LexAop-GCaMP6f, R39E01-lexA; UAS-CsChrimson",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR39E01-lexA}attP40 
/CyO",P{20XUAS-IVS-CsChrimson.mVenus}attP2,"Made from C-77 & C-79 by Thad, 2015","Gcamp6f in muscles, csChrimson on third - cross to Gal-4 drivers for activation, image GcAMP from muscles",
C-86,"LexAop-GCaMP6f, R38H06-lexA; UAS-CsChrimson",w[+],"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR38H06-lexA}attP40 
/CyO",P{20XUAS-IVS-CsChrimson.mVenus}attP2,"Made from C-77 & C-80 by Thad, 2015","Gcamp6f in muscles, csChrimson on third - cross to Gal-4 drivers for activation, image GcAMP from muscles",
C-87,GCaMP6f; R57C10-GAL4 ,+,P{20XUAS-IVS-GCaMP6f}attP40,P{y[+t7.7] w[+mC]=GMR57C10-GAL4}attP2,Made by Peter,Pan neuronal GCamp,
C-88,"LexAop-GCaMP6f ; UAS-RicinA, cold sensitive",+/w*,"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/ CyO",P{w[+mC]=UAS-RA.cs2}CC,Made by Peter,"Cross to Gal4 in cold, heatshock to kill neurons",
C-89,LexAop-GCaMP6f ; UAS-CsChrimson,+/w*,"P{y[+t7.7] w[+mC]=13XLexAop2-IVS-GCaMP6f-p10}su(Hw)attP5, P{y[+t7.7] w[+mC]=GMR57C10-lexA}attP40/ CyO",P{20XUAS-IVS-CsChrimson.mVenus}attP2,Made by Peter,,
C-90,rh3-Gal4 ; UAS-GCaMP6s,+,P{w[+mC]=Rh3-GAL4}2,PBac{20XUAS-IVS-GCaMP6s}VK00005,Made by Peter,,
C-91,rh3-Gal4 ; UAS-tdTomato,+,P{w[+mC]=Rh3-GAL4}2 /CyO,P{w[+mC]=UAS-tdTom.S}3 /TM6B Tb,Made by Peter,,
C-92, UAS-tdTom-p2A-GCaMP6s; R57C10-GAL4 ,+, P{UAS-tdTom-p2A-GCaMP6s}attP40/CyO,P{y[+t7.7] w[+mC]=GMR57C10-GAL4}attP2,Made by Peter,Pan neuronal GCamp with tdTom,
C-93,UAS-mCD8::GFP; Gr64f-GAL4,w[*],P{w[+mC]=UAS-mCD8::GFP.L}LL5,"P{w[+mC]=Gr64f-GAL4.9.7}1/TM3, Sb[1]",,,
C-94,"LexAOP-GCaMP6s, UAS-Chrimson::tdTom (x)","13xLexAOP-GCaMP6s (attp8), 10xUAS-Chrimson::tdTomato (attp18)",Sp/Cyo,MKRS (Sb)/TM2 (Ubx),"Brian D., Anderson Lab",,
C-95,"R57C10-lexA, lexAOp-GCaMP6s; UAS-Chrimson, UAS-lexA RNAi",?,"R57C10-lexA , lexAOp-GCaMP6s","UAS-Chrimson , UAS-lexAi/TM6B","Scott Waddell, University of Oxford",,
,,,,,,,
,,,,,,,
, ,,,,,,
Gal4 lines,,chromosome I,chromosome II,chromosome III,"source, date",notes,In-house confocal stack?
G-01,3a-Gal4 (III),w[*],+,P{w[+mW.hs]=GawB}3A,"Marie, 7/2011","Expressed in VS cells. At 3L(66A) (Scott, Raabe and Luo, 2002)",20x
G-02,DB331-Gal4 (x),DB331-Gal4,+,+,"Marie, 7/2011, w+ (HCS) from crossed in by Anne ??/??",Expressed in VS cells. Maps to the region 12 DE on the X chromosome,20x
G-03,104y-Gal4 (II),w[*],P{w[+mW.hs]=GawB}104y,+,"A Paulk, 7/2011","A.P. expression: upper layers of the fan shaped body, not very specific.http://flybase.org/reports/FBti0072312.html",10x
G-04,c205-Gal4 (III),w[*],+,P{w[+mW.hs]=GawB}c205,"A Paulk, 7/2011","A.P. expression: upper layers of the fan shaped body, not very specific.http://flybase.org/reports/FBti0074327.html",10x
G-05,c309-Gal4 (II),w[*],P{=GawB}c309,+,"A Paulk, 7/2011","A.P. expression: Mushroom body, fairly specific.http://flybase.org/reports/FBti0006248.html",10x
G-06,C5-Gal4 (III),w[*],+,P{w[+mW.hs]=GawB}C5,"A Paulk, 7/2011","A.P. expression: upper layers of the fan shaped body, not very specific.http://flybase.org/reports/FBti0129919.html",10x
G-07,NP2320-Gal4 (II),w[*],P{w[+mW.hs]=GawB}NP2320 / CyO,+,"DGRC, 12/2012",Peter's request.,
